MasterID,ChildID,MasterName,ChildName,Relation,Date,DateKey
M964,C1771,Master_17,Child_17,Guardian,2019-11-13,20191113
M894,C5856,Master_39,Child_57,Guardian,2019-11-13,20191113
M524,C4736,Master_79,Child_17,Parent,2019-11-13,20191113
M933,C6936,Master_26,Child_51,Guardian,2019-11-13,20191113
M714,C8825,Master_81,Child_84,Parent,2019-11-13,20191113
M420,C6187,Master_14,Child_65,Parent,2019-11-13,20191113
M501,C1059,Master_78,Child_60,Parent,2019-11-13,20191113
M192,C8448,Master_42,Child_90,Guardian,2019-11-13,20191113
M538,C5816,Master_94,Child_80,Guardian,2019-11-13,20191113
M761,C6070,Master_91,Child_48,Sibling,2019-11-13,20191113
M649,C6120,Master_95,Child_63,Sibling,2019-11-13,20191113
M231,C3313,Master_97,Child_17,Sibling,2019-11-13,20191113
M499,C4602,Master_5,Child_63,Guardian,2019-11-13,20191113
M558,C7017,Master_85,Child_45,Parent,2019-11-13,20191113
M179,C4852,Master_79,Child_94,Sibling,2019-11-13,20191113
M783,C2105,Master_76,Child_77,Sibling,2019-11-13,20191113
M940,C4007,Master_92,Child_32,Guardian,2019-11-13,20191113
M872,C9298,Master_16,Child_74,Parent,2019-11-13,20191113
M571,C1227,Master_17,Child_10,Parent,2019-11-13,20191113
M875,C9137,Master_10,Child_95,Guardian,2019-11-13,20191113
